,loading
log_daily_return,-0.3981740153524361
return_Zscore_20d,-0.37253999643518954
VIX_Zscore_X_DD,-0.32332211841495956
ret_x_VIX,-0.1751914582397314
20d_return,-0.10749361019907244
vol_ratio,-0.09931291817722841
RSI_20,-0.09891200082724534
current_drawdown,-0.051228808557822254
5d_volatility,0.028704147678182856
realized_kurtosis_20d,0.031183424383471017
downside_dev_20d,0.038534859279799126
VRP_Proxy,0.1066103541047621
dVIX_5d,0.23305450882171277
VIX_Zscore_20d,0.3779756142096372
vol_x_VIX,0.38682469449445916
dVIX_1d,0.41020214059475574
